Suburb,Address,Type,Method,SellerG,Date,CouncilArea,Regionname
Abbotsford,5/20 Abbotsford St,u,SP,Greg,22/08/2016,Yarra,Northern Metropolitan
Abbotsford,48 Abbotsford St,h,PI,Nelson,22/08/2016,Yarra,Northern Metropolitan
Abbotsford,116/56 Nicholson St,u,S,Jellis,22/08/2016,Yarra,Northern Metropolitan
Abbotsford,159 Park St,h,S,Nelson,22/08/2016,Yarra,Northern Metropolitan
Abbotsford,31 Turner St,h,S,Collins,24/09/2016,Yarra,Northern Metropolitan
Abbotsford,166 Gipps St,h,S,Biggin,25/02/2017,Yarra,Northern Metropolitan
Abbotsford,60 Stafford St,h,S,Biggin,25/02/2017,Yarra,Northern Metropolitan
Abbotsford,11/205 Gipps St,u,S,Nelson,26/07/2016,Yarra,Northern Metropolitan
Abbotsford,47 Studley St,h,S,Jellis,27/11/2016,Yarra,Northern Metropolitan
Abbotsford,45 Yarra St,h,SP,Jellis,27/11/2016,Yarra,Northern Metropolitan
Abbotsford,200 Nicholson St,h,S,Nelson,28/05/2016,Yarra,Northern Metropolitan
Abbotsford,27 Charles St,h,S,Biggin,30/07/2016,Yarra,Northern Metropolitan
Airport West,154 Halsey Rd,t,PI,Nelson,3/09/2016,Moonee Valley,Western Metropolitan
Airport West,50 Bedford St,h,VB,Nelson,3/12/2016,Moonee Valley,Western Metropolitan
Airport West,50 Bedford St,h,SP,Nelson,4/03/2017,Moonee Valley,Western Metropolitan
Airport West,23 Hart St,h,S,Nelson,4/03/2017,Moonee Valley,Western Metropolitan
Airport West,1/80 Hawker St,t,S,Brad,4/03/2017,Moonee Valley,Western Metropolitan
Airport West,1/37 Hillside Gr,h,S,Maddison,4/03/2017,Moonee Valley,Western Metropolitan
Airport West,2/49 McIntosh St,u,VB,Barry,4/03/2017,Moonee Valley,Western Metropolitan
Airport West,54 Marshall Rd,h,S,Barry,6/08/2016,Moonee Valley,Western Metropolitan
Airport West,36 Roberts Rd,h,S,Considine,6/08/2016,Moonee Valley,Western Metropolitan
Airport West,11 Harrington Rd,h,SP,Barry,7/05/2016,Moonee Valley,Western Metropolitan
Airport West,2/252 Parer Rd,t,S,Barry,7/05/2016,Moonee Valley,Western Metropolitan
Airport West,3/19 Hart St,u,S,Barry,7/11/2016,Moonee Valley,Western Metropolitan
Airport West,2/62 Clydesdale Rd,u,S,Nelson,10/09/2016,Moonee Valley,Western Metropolitan
Airport West,3 Deidre Ct,h,PI,Rendina,10/09/2016,Moonee Valley,Western Metropolitan
Airport West,13 Etzel St,h,S,Nelson,10/12/2016,Moonee Valley,Western Metropolitan
Airport West,1/43 Cameron St,u,S,Nelson,11/02/2017,Moonee Valley,Western Metropolitan
Airport West,145a Victory Rd,u,S,Barry,13/08/2016,Moonee Valley,Western Metropolitan
Airport West,241 Parer Rd,h,PI,Propertyau,14/05/2016,Moonee Valley,Western Metropolitan
Airport West,2/40 Earl St,t,PI,Brad,15/10/2016,Moonee Valley,Western Metropolitan
Airport West,180 Parer Rd,h,S,Barry,16/04/2016,Moonee Valley,Western Metropolitan
Airport West,4/54 Hawker St,u,S,Barry,16/07/2016,Moonee Valley,Western Metropolitan
Airport West,43 Hillside Gr,h,SP,Barry,16/07/2016,Moonee Valley,Western Metropolitan
Airport West,174 Parer Rd,h,S,Barry,16/07/2016,Moonee Valley,Western Metropolitan
Airport West,138 Victory Rd,h,S,Nelson,16/07/2016,Moonee Valley,Western Metropolitan
Airport West,75 King St,h,S,McDonald,17/09/2016,Moonee Valley,Western Metropolitan
Airport West,6 Kittyhawk St,h,S,Brad,17/09/2016,Moonee Valley,Western Metropolitan
Airport West,478 Fullarton Rd,h,PI,Barry,18/03/2017,Moonee Valley,Western Metropolitan
Airport West,144 Marshall Rd,h,S,Rendina,18/03/2017,Moonee Valley,Western Metropolitan
Airport West,106 Parer Rd,h,S,Nelson,18/03/2017,Moonee Valley,Western Metropolitan
Airport West,3/7 South Rd,t,SP,Nelson,18/06/2016,Moonee Valley,Western Metropolitan
Airport West,37 North St,t,SP,Barry,19/11/2016,Moonee Valley,Western Metropolitan
Airport West,10 Hilbert Rd,h,S,Barry,22/05/2016,Moonee Valley,Western Metropolitan
Airport West,110 Halsey Rd,h,S,Barry,22/08/2016,Moonee Valley,Western Metropolitan
Airport West,2/13 North St,u,S,Nelson,22/08/2016,Moonee Valley,Western Metropolitan
Airport West,105a Victory Rd,h,S,Nelson,22/08/2016,Moonee Valley,Western Metropolitan
Airport West,117 Marshall Rd,h,S,Brad,23/04/2016,Moonee Valley,Western Metropolitan
Airport West,34 Moorna Dr,h,S,Nelson,24/09/2016,Moonee Valley,Western Metropolitan
Airport West,33 North St,h,PI,Nelson,25/02/2017,Moonee Valley,Western Metropolitan
Airport West,49 Roberts Rd,h,S,Prof.,27/11/2016,Moonee Valley,Western Metropolitan
Airport West,85 Roberts Rd,h,S,Harcourts,27/11/2016,Moonee Valley,Western Metropolitan
Albert Park,105 Kerferd Rd,h,S,hockingstuart,3/09/2016,Port Phillip,Southern Metropolitan
Albert Park,85 Richardson St,h,S,Thomson,3/09/2016,Port Phillip,Southern Metropolitan
Albert Park,112 Beaconsfield Pde,h,PI,Buxton,4/03/2017,Port Phillip,Southern Metropolitan
Albert Park,94 Graham St,h,S,Greg,4/03/2017,Port Phillip,Southern Metropolitan
Albert Park,396 Montague St,h,S,RT,4/03/2017,Port Phillip,Southern Metropolitan
Albert Park,75 Graham St,h,S,Marshall,6/08/2016,Port Phillip,Southern Metropolitan
Albert Park,54 Brooke St,h,S,Sotheby's,7/05/2016,Port Phillip,Southern Metropolitan
Albert Park,104 Richardson St,h,S,Marshall,7/05/2016,Port Phillip,Southern Metropolitan
Albert Park,4a Mills St,t,VB,Marshall,7/11/2016,Port Phillip,Southern Metropolitan
Albert Park,1 Moubray St,h,VB,Greg,7/11/2016,Port Phillip,Southern Metropolitan
Albert Park,29 Faussett St,h,S,Greg,10/09/2016,Port Phillip,Southern Metropolitan
Albert Park,3 Herbert St,h,VB,Cayzer,10/09/2016,Port Phillip,Southern Metropolitan
Albert Park,24 Kerferd Pl,h,S,Marshall,10/09/2016,Port Phillip,Southern Metropolitan
Albert Park,44 Draper St,h,PI,Greg,10/12/2016,Port Phillip,Southern Metropolitan
Albert Park,2 Dundas Pl,h,S,Cayzer,10/12/2016,Port Phillip,Southern Metropolitan
Albert Park,23 Finlay St,h,S,Greg,10/12/2016,Port Phillip,Southern Metropolitan
Albert Park,31 Richardson St,h,S,hockingstuart,10/12/2016,Port Phillip,Southern Metropolitan
Albert Park,4a Gatehouse La,h,S,Greg,12/06/2016,Port Phillip,Southern Metropolitan
Albert Park,60 Brooke St,h,S,Cayzer,12/11/2016,Port Phillip,Southern Metropolitan
Albert Park,70 Barrett St,h,S,Greg,15/10/2016,Port Phillip,Southern Metropolitan
Albert Park,65 Graham St,h,S,Greg,15/10/2016,Port Phillip,Southern Metropolitan
Albert Park,364 Montague St,h,S,Greg,15/10/2016,Port Phillip,Southern Metropolitan
Albert Park,86 Mills St,h,VB,RT,16/04/2016,Port Phillip,Southern Metropolitan
Albert Park,129 Kerferd Rd,h,S,Greg,18/03/2017,Port Phillip,Southern Metropolitan
Albert Park,97 Page St,h,S,Greg,18/03/2017,Port Phillip,Southern Metropolitan
Albert Park,55 Withers St,h,VB,Cayzer,18/06/2016,Port Phillip,Southern Metropolitan
Albert Park,10/140 Kerferd Rd,u,S,Greg,22/05/2016,Port Phillip,Southern Metropolitan
Albert Park,55 Merton St,h,SP,Marshall,23/04/2016,Port Phillip,Southern Metropolitan
Albert Park,49 Page St,h,PI,Marshall,24/09/2016,Port Phillip,Southern Metropolitan
Albert Park,13/52 Moubray St,u,S,Marshall,25/02/2017,Port Phillip,Southern Metropolitan
Albert Park,115 Page St,h,S,Marshall,25/02/2017,Port Phillip,Southern Metropolitan
Albert Park,32 Page St,h,S,Greg,25/02/2017,Port Phillip,Southern Metropolitan
Albert Park,34 Richardson St,h,S,hockingstuart,25/02/2017,Port Phillip,Southern Metropolitan
Albert Park,2b Dundas Pl,h,S,Chisholm,26/07/2016,Port Phillip,Southern Metropolitan
Albert Park,22 Greig St,h,S,Greg,26/07/2016,Port Phillip,Southern Metropolitan
Albert Park,27 Barrett St,h,S,Greg,27/06/2016,Port Phillip,Southern Metropolitan
Albert Park,44 Greig St,h,S,Marshall,27/11/2016,Port Phillip,Southern Metropolitan
Albert Park,6 Brooke St,h,S,Greg,28/05/2016,Port Phillip,Southern Metropolitan
Albert Park,227a Danks St,h,S,hockingstuart,28/08/2016,Port Phillip,Southern Metropolitan
Albert Park,17 Reed St,h,PI,Marshall,28/08/2016,Port Phillip,Southern Metropolitan
Albert Park,74 Bridport St,h,VB,Buxton,30/07/2016,Port Phillip,Southern Metropolitan
Albert Park,9 Durham St,h,S,Marshall,30/07/2016,Port Phillip,Southern Metropolitan
Alphington,6 Smith St,h,S,Brace,3/09/2016,Darebin,Northern Metropolitan
Alphington,5/6 Yarralea St,h,S,Jellis,3/09/2016,Yarra,Northern Metropolitan
Alphington,136A Fulham Rd,h,S,Jellis,4/03/2017,Darebin,Northern Metropolitan
Alphington,44 Shiers St,h,S,Collins,8/10/2016,Darebin,Northern Metropolitan
Alphington,83 Fulham Rd,h,S,Nelson,12/06/2016,Darebin,Northern Metropolitan
Alphington,3/19 Harker St,u,S,Miles,12/11/2016,Darebin,Northern Metropolitan
Alphington,4/2 Miller St,t,S,Miles,12/11/2016,Darebin,Northern Metropolitan
Alphington,2/5 Yarana Rd,u,S,McGrath,12/11/2016,Darebin,Northern Metropolitan
Alphington,815 Heidelberg Rd,h,PI,hockingstuart,15/10/2016,Darebin,Northern Metropolitan
Alphington,44 Naroon Rd,h,S,Nelson,16/04/2016,Darebin,Northern Metropolitan
Alphington,3/98 Grange Rd,u,S,Nelson,18/03/2017,Darebin,Northern Metropolitan
Alphington,10 Bennett St,h,S,Nelson,19/11/2016,Darebin,Northern Metropolitan
Alphington,38 Bennett St,h,S,Nelson,19/11/2016,Darebin,Northern Metropolitan
Alphington,2c Hamilton St,h,SP,hockingstuart,22/05/2016,Darebin,Northern Metropolitan
Alphington,5/5 Yarana Rd,u,VB,Nelson,22/05/2016,Darebin,Northern Metropolitan
Alphington,7/7 Chandler Hwy,t,SP,Brace,24/09/2016,Yarra,Northern Metropolitan
Alphington,1/14 Fulham Rd,u,S,Love,25/02/2017,Darebin,Northern Metropolitan
Alphington,22 Lowther St,h,S,Barry,27/06/2016,Yarra,Northern Metropolitan
Alphington,11 Margaret Gr,h,SP,McGrath,27/11/2016,Yarra,Northern Metropolitan
Alphington,6 Naroon Rd,h,SP,McGrath,28/08/2016,Darebin,Northern Metropolitan
Alphington,42 Shiers St,h,S,Jellis,30/07/2016,Darebin,Northern Metropolitan
Altona,158 Queen St,h,VB,Greg,3/09/2016,Hobsons Bay,Western Metropolitan
Altona,59 Bracken Gr,h,S,Greg,3/12/2016,Hobsons Bay,Western Metropolitan
Altona,1/123 Blyth St,t,S,hockingstuart,4/02/2016,Hobsons Bay,Western Metropolitan
Altona,4 Blyth St,h,S,Barlow,4/03/2017,Hobsons Bay,Western Metropolitan
Altona,20 Linnet St,h,PI,Sweeney,4/06/2016,Hobsons Bay,Western Metropolitan
Altona,29 Rose St,h,SP,Greg,4/06/2016,Hobsons Bay,Western Metropolitan
Altona,1/170 Blyth St,u,S,Barlow,6/08/2016,Hobsons Bay,Western Metropolitan
Altona,5/35 Grieve Pde,u,SP,hockingstuart,6/08/2016,Hobsons Bay,Western Metropolitan
Altona,156 Maidstone St,h,VB,Greg,7/05/2016,Hobsons Bay,Western Metropolitan
Altona,11 Keeshan Ct,h,S,Greg,7/11/2016,Hobsons Bay,Western Metropolitan
Altona,1/136 Queen St,u,S,Barlow,8/10/2016,Hobsons Bay,Western Metropolitan
Altona,173 Queen St,h,S,hockingstuart,8/10/2016,Hobsons Bay,Western Metropolitan
Altona,1/265 Queen St,t,SP,hockingstuart,8/10/2016,Hobsons Bay,Western Metropolitan
Altona,3/26 Grieve Pde,u,S,Village,10/09/2016,Hobsons Bay,Western Metropolitan
Altona,261 Queen St,h,S,Barlow,10/09/2016,Hobsons Bay,Western Metropolitan
Altona,4/5 Rose St,u,S,hockingstuart,10/09/2016,Hobsons Bay,Western Metropolitan
Altona,1/60 David St,u,S,Jas,10/12/2016,Hobsons Bay,Western Metropolitan
Altona,1A Merritt Ct,t,S,hockingstuart,11/02/2017,Hobsons Bay,Western Metropolitan
Altona,4/31 Millers Rd,u,SP,Greg,11/02/2017,Hobsons Bay,Western Metropolitan
Altona,111/112 Pier St,u,SP,hockingstuart,11/02/2017,Hobsons Bay,Western Metropolitan
Altona,24 Wren St,h,S,hockingstuart,11/02/2017,Hobsons Bay,Western Metropolitan
Altona,1/152 Blyth St,t,SP,Gunn&Co,12/11/2016,Hobsons Bay,Western Metropolitan
Altona,4/57 Blyth St,u,SP,Barlow,13/08/2016,Hobsons Bay,Western Metropolitan
Altona,164 Maidstone St,h,S,Sweeney,14/05/2016,Hobsons Bay,Western Metropolitan
Altona,3/25 Rayner St,u,SP,hockingstuart,14/05/2016,Hobsons Bay,Western Metropolitan
Altona,3/46 Sargood St,u,S,Burnham,15/10/2016,Hobsons Bay,Western Metropolitan
Altona,1/57 Blyth St,u,SP,Barlow,16/04/2016,Hobsons Bay,Western Metropolitan
Altona,22 Fenfield St,h,S,hockingstuart,16/04/2016,Hobsons Bay,Western Metropolitan
Altona,5/8 David St,u,PI,Biggin,16/07/2016,Hobsons Bay,Western Metropolitan
Altona,1/28 Seves St,h,S,hockingstuart,17/09/2016,Hobsons Bay,Western Metropolitan
Altona,27 McIntyre Dr,h,SP,Greg,18/03/2017,Hobsons Bay,Western Metropolitan
Altona,4 Boyd St,h,S,Barlow,19/11/2016,Hobsons Bay,Western Metropolitan
Altona,12 Spear Ct,t,S,hockingstuart,22/05/2016,Hobsons Bay,Western Metropolitan
Altona,185 Queen St,h,PI,Barlow,22/08/2016,Hobsons Bay,Western Metropolitan
Altona,3/20 Mulga St,u,S,Williams,23/04/2016,Hobsons Bay,Western Metropolitan
Altona,51 Millers Rd,h,S,Barlow,25/02/2017,Hobsons Bay,Western Metropolitan
Altona,2/119 Railway St N,u,S,Barlow,25/02/2017,Hobsons Bay,Western Metropolitan
Altona,24 McIntyre Dr,h,S,Barlow,27/06/2016,Hobsons Bay,Western Metropolitan
Altona,104 Maidstone St,h,SP,hockingstuart,27/11/2016,Hobsons Bay,Western Metropolitan
Altona,49 Bent St,h,S,Barlow,28/05/2016,Hobsons Bay,Western Metropolitan
Altona,5/57 Blyth St,u,SP,Barlow,28/05/2016,Hobsons Bay,Western Metropolitan
Altona,15 Kookaburra St,h,S,Sweeney,28/05/2016,Hobsons Bay,Western Metropolitan
Altona,219 Civic Pde,h,S,Greg,28/08/2016,Hobsons Bay,Western Metropolitan
Altona,3 Curtin Ct,h,S,Sweeney,28/08/2016,Hobsons Bay,Western Metropolitan
Altona,2/60 David St,h,SP,Compton,30/07/2016,Hobsons Bay,Western Metropolitan
Altona North,45 Hearn St,h,S,FN,3/09/2016,Hobsons Bay,Western Metropolitan
Altona North,4 Knapp St,h,S,Jas,3/09/2016,Hobsons Bay,Western Metropolitan
Altona North,21 Hatherley Gr,h,SP,Jas,4/03/2017,Hobsons Bay,Western Metropolitan
Altona North,3/66 Marion St,t,S,hockingstuart,4/03/2017,Hobsons Bay,Western Metropolitan
Altona North,153 Mills St,h,S,Sweeney,4/03/2017,Hobsons Bay,Western Metropolitan
Altona North,33 Carthy St,h,S,FN,4/06/2016,Hobsons Bay,Western Metropolitan
Altona North,16 Harris St,h,S,Sweeney,4/06/2016,Hobsons Bay,Western Metropolitan
Altona North,1/5 Little St,h,VB,Greg,6/08/2016,Hobsons Bay,Western Metropolitan
Altona North,1/95 Mills St,h,S,Williams,7/05/2016,Hobsons Bay,Western Metropolitan
Altona North,5 Binns St,h,PI,Village,7/11/2016,Hobsons Bay,Western Metropolitan
Altona North,25 Allan St,h,SP,Jas,8/10/2016,Hobsons Bay,Western Metropolitan
Altona North,21 Hatherley Gr,h,VB,Jas,10/12/2016,Hobsons Bay,Western Metropolitan
Altona North,1/256 Mason St,t,S,Williams,11/03/2017,Hobsons Bay,Western Metropolitan
Altona North,21 Allan St,h,SP,Williams,12/06/2016,Hobsons Bay,Western Metropolitan
Altona North,2/36 May St,h,S,hockingstuart,14/05/2016,Hobsons Bay,Western Metropolitan
Altona North,11 Beevers St,h,S,Greg,15/10/2016,Hobsons Bay,Western Metropolitan
Altona North,10 Murphy St,h,SP,Gunn&Co,15/10/2016,Hobsons Bay,Western Metropolitan
Altona North,16 Beevers St,h,S,Sweeney,19/11/2016,Hobsons Bay,Western Metropolitan
Altona North,21 Neal Ct,h,SP,hockingstuart,19/11/2016,Hobsons Bay,Western Metropolitan
Altona North,31 Duosa Rd,h,S,Greg,22/05/2016,Hobsons Bay,Western Metropolitan
Altona North,252 Millers Rd,h,SP,Raine&Horne,22/05/2016,Hobsons Bay,Western Metropolitan
Altona North,1/156 Chambers Rd,h,SP,Hunter,22/08/2016,Hobsons Bay,Western Metropolitan
Altona North,2 Gadsden St,h,S,Jas,22/08/2016,Hobsons Bay,Western Metropolitan
Altona North,24 Hansen St,h,S,hockingstuart,22/08/2016,Hobsons Bay,Western Metropolitan
Altona North,4 Prismall St,h,S,Sweeney,22/08/2016,Hobsons Bay,Western Metropolitan
Altona North,122 McIntosh Rd,h,S,Village,23/04/2016,Hobsons Bay,Western Metropolitan
Altona North,35 May St,h,S,RT,24/09/2016,Hobsons Bay,Western Metropolitan
Altona North,6 Hill St,h,S,hockingstuart,25/02/2017,Hobsons Bay,Western Metropolitan
Altona North,84 May St,h,S,Greg,25/02/2017,Hobsons Bay,Western Metropolitan
Altona North,155 Chambers Rd,h,S,Hunter,27/06/2016,Hobsons Bay,Western Metropolitan
Altona North,268d Mason St,t,S,RT,27/06/2016,Hobsons Bay,Western Metropolitan
Altona North,5 Cresser St,h,SP,RT,27/11/2016,Hobsons Bay,Western Metropolitan
Altona North,107 McIntosh Rd,h,SP,Hunter,27/11/2016,Hobsons Bay,Western Metropolitan
Altona North,10 Knapp St,h,PI,Hunter,28/05/2016,Hobsons Bay,Western Metropolitan
Altona North,4/221 Blackshaws Rd,u,S,Jas,28/08/2016,Hobsons Bay,Western Metropolitan
Armadale,8/19 Mercer Rd,u,S,Jellis,3/09/2016,Stonnington,Southern Metropolitan
Armadale,1/42 Adelaide St,u,VB,Noel,3/12/2016,Stonnington,Southern Metropolitan
Armadale,14/71 Denbigh Rd,u,S,Marshall,3/12/2016,Stonnington,Southern Metropolitan
Armadale,4/769 High St,t,S,Jellis,3/12/2016,Stonnington,Southern Metropolitan
Armadale,7 Llaneast St,h,S,Jellis,3/12/2016,Stonnington,Southern Metropolitan
Armadale,9/55 Northcote Rd,u,S,Biggin,3/12/2016,Stonnington,Southern Metropolitan
Armadale,28 Cambridge St,h,S,Hodges,4/03/2017,Stonnington,Southern Metropolitan
Armadale,3/16 Fulton St,u,S,hockingstuart,4/03/2017,Stonnington,Southern Metropolitan
Armadale,3/20 Mercer Rd,t,SP,Jellis,4/03/2017,Stonnington,Southern Metropolitan
Armadale,1/77 Wattletree Rd,u,SP,hockingstuart,4/03/2017,Stonnington,Southern Metropolitan
Armadale,12 Willis St,h,S,Marshall,4/03/2017,Stonnington,Southern Metropolitan
Armadale,8/71 Denbigh Rd,u,VB,Jellis,4/06/2016,Stonnington,Southern Metropolitan
Armadale,11/17 Myamyn St,u,S,Jellis,4/06/2016,Stonnington,Southern Metropolitan
Armadale,526 Orrong Rd,h,VB,Jellis,4/06/2016,Stonnington,Southern Metropolitan
Armadale,553 Dandenong Rd,h,PI,Jellis,7/05/2016,Stonnington,Southern Metropolitan
Armadale,9/19 Mercer Rd,u,PI,Marshall,7/05/2016,Stonnington,Southern Metropolitan
Armadale,6/26 Mercer Rd,u,S,Jellis,7/05/2016,Stonnington,Southern Metropolitan
Armadale,538a Orrong Rd,t,S,RT,7/05/2016,Stonnington,Southern Metropolitan
Armadale,18/41 Kooyong Rd,u,S,Marshall,8/10/2016,Stonnington,Southern Metropolitan
Armadale,10 William St,h,SP,Jellis,8/10/2016,Stonnington,Southern Metropolitan
Armadale,15/405 Dandenong Rd,u,PI,hockingstuart,10/09/2016,Stonnington,Southern Metropolitan
Armadale,1/2 Armadale St,u,PI,hockingstuart,10/12/2016,Stonnington,Southern Metropolitan
Armadale,4/20 Mercer Rd,h,S,Marshall,10/12/2016,Stonnington,Southern Metropolitan
Armadale,8/58 Sutherland Rd,u,S,hockingstuart,10/12/2016,Stonnington,Southern Metropolitan
Armadale,40 New St,h,S,Marshall,12/11/2016,Stonnington,Southern Metropolitan
Armadale,35 Northcote Rd,h,S,Marshall,12/11/2016,Stonnington,Southern Metropolitan
Armadale,7/53 Wattletree Rd,u,S,Jellis,14/05/2016,Stonnington,Southern Metropolitan
Armadale,791 High St,h,PI,RT,15/10/2016,Stonnington,Southern Metropolitan
Armadale,25 Llaneast St,h,PI,Jellis,15/10/2016,Stonnington,Southern Metropolitan
Armadale,8/569 Orrong Rd,u,S,Jellis,16/04/2016,Stonnington,Southern Metropolitan
Armadale,367 Dandenong Rd,h,S,Marshall,17/09/2016,Stonnington,Southern Metropolitan
Armadale,34a Rose St,h,S,RT,17/09/2016,Stonnington,Southern Metropolitan
Armadale,42 Rose St,h,S,Marshall,17/09/2016,Stonnington,Southern Metropolitan
Armadale,12 Auburn Gr,h,S,hockingstuart,18/03/2017,Stonnington,Southern Metropolitan
Armadale,31 Hume St,h,VB,Jellis,18/03/2017,Stonnington,Southern Metropolitan
Armadale,10/581 Orrong Rd,u,SP,Jellis,18/03/2017,Stonnington,Southern Metropolitan
Armadale,7/579 Dandenong Rd,u,PI,Ray,18/06/2016,Stonnington,Southern Metropolitan
Armadale,19 Glassford St,h,S,Marshall,18/06/2016,Stonnington,Southern Metropolitan
Armadale,14 New St,h,VB,Jellis,18/06/2016,Stonnington,Southern Metropolitan
Armadale,7/501 Orrong Rd,u,S,Gary,18/06/2016,Stonnington,Southern Metropolitan
Armadale,6/51 Armadale St,u,SP,Greg,19/11/2016,Stonnington,Southern Metropolitan
Armadale,12/41 Kooyong Rd,u,VB,Marshall,19/11/2016,Stonnington,Southern Metropolitan
Armadale,63 Denbigh Rd,h,S,Marshall,22/05/2016,Stonnington,Southern Metropolitan
Armadale,13/56 Sutherland Rd,u,SP,Fletchers,22/08/2016,Stonnington,Southern Metropolitan
Armadale,7/22 Derby St,u,PI,hockingstuart,24/09/2016,Stonnington,Southern Metropolitan
Armadale,10/51 Armadale St,u,S,Jellis,25/02/2017,Stonnington,Southern Metropolitan
Armadale,2/377 Dandenong Rd,u,S,Jellis,25/02/2017,Stonnington,Southern Metropolitan
Armadale,1/14 Denbigh Rd,u,S,hockingstuart,25/02/2017,Stonnington,Southern Metropolitan
Armadale,75 Sutherland Rd,h,S,Marshall,25/02/2017,Stonnington,Southern Metropolitan
Armadale,61 Union St,h,S,Jellis,25/02/2017,Stonnington,Southern Metropolitan
Armadale,1/403 Dandenong Rd,u,S,hockingstuart,27/06/2016,Stonnington,Southern Metropolitan
Armadale,44 Denbigh Rd,h,S,Jellis,27/11/2016,Stonnington,Southern Metropolitan
Armadale,44 Hampden Rd,h,VB,Kay,27/11/2016,Stonnington,Southern Metropolitan
Armadale,3/769 High St,t,S,Jellis,27/11/2016,Stonnington,Southern Metropolitan
Armadale,4 Mercer Rd,h,S,Marshall,27/11/2016,Stonnington,Southern Metropolitan
Armadale,17 Kooyong Rd,h,PI,Marshall,28/05/2016,Stonnington,Southern Metropolitan
Armadale,1/31 Mercer Rd,u,S,Jellis,28/05/2016,Stonnington,Southern Metropolitan
Armadale,16 Llaneast St,h,S,Marshall,28/08/2016,Stonnington,Southern Metropolitan
Armadale,2/532 Orrong Rd,u,S,Ray,28/08/2016,Stonnington,Southern Metropolitan
Armadale,5/555 Orrong Rd,u,S,hockingstuart,28/08/2016,Stonnington,Southern Metropolitan
Armadale,3/50 Denbigh Rd,u,SP,hockingstuart,30/07/2016,Stonnington,Southern Metropolitan
Armadale,7/844 Malvern Rd,u,S,Ray,30/07/2016,Stonnington,Southern Metropolitan
Ascot Vale,2/43 Roxburgh St,u,S,Nelson,3/09/2016,Moonee Valley,Western Metropolitan
Ascot Vale,30 Rothwell St,h,S,Nelson,3/12/2016,Moonee Valley,Western Metropolitan
Ascot Vale,9/5 Rothwell St,u,SP,Brad,3/12/2016,Moonee Valley,Western Metropolitan
Ascot Vale,7 Francis St,h,SP,Nelson,4/03/2017,Moonee Valley,Western Metropolitan
Ascot Vale,2/21 Harold St,u,VB,Jellis,4/03/2017,Moonee Valley,Western Metropolitan
Ascot Vale,44 The Parade,h,S,Brad,4/03/2017,Moonee Valley,Western Metropolitan
Ascot Vale,97 Walter St,h,S,Woodards,4/03/2017,Moonee Valley,Western Metropolitan
Ascot Vale,98 Epsom Rd,h,SP,Nelson,4/06/2016,Moonee Valley,Western Metropolitan
Ascot Vale,8 Geddes St,h,PI,Nelson,4/06/2016,Moonee Valley,Western Metropolitan
Ascot Vale,75 Maribyrnong Rd,h,PI,Brad,4/06/2016,Moonee Valley,Western Metropolitan
